mV_GeV,mX_GeV
799.828,414.914
900.000,461.442
913.869,467.774
920.720,471.216
1000.000,508.417
1006.805,508.639
1009.284,512.785
1025.120,520.024
1037.718,526.315
1050.000,532.026
1074.492,532.652
1080.273,546.055
1100.000,555.638
1118.640,556.272
1126.075,567.822
1135.553,572.111
1150.000,579.340
1154.081,579.592
1173.789,580.242
1183.826,595.148
1190.248,598.050
1200.000,602.892
1212.828,603.717
1228.542,604.292
1241.170,622.351
1250.000,626.596
1270.396,627.960
1283.044,628.391
1297.784,649.335
1300.000,650.392
1327.654,652.235
1336.926,652.615
1350.000,670.727
1357.998,671.001
1360.000,675.000
1390.243,676.951
1400.000,690.078
1423.538,700.000
1443.602,701.280
1450.000,709.852
1485.452,725.000
1496.390,725.722
1500.000,730.436
1536.073,731.963
1545.994,750.000
1548.973,750.205
1550.000,751.447
1593.690,753.155
1600.000,764.627
1647.501,775.000
1649.784,775.108
1650.000,775.478
1663.479,775.000
1694.358,772.179
1700.000,770.680
1734.974,750.000
1750.000,737.351
1762.503,725.000
1777.942,700.000
1781.484,690.742
1791.656,670.828
1800.000,649.899
1808.703,625.000
1809.764,620.118
1815.475,600.000
1812.549,581.275
1813.770,575.000
1822.256,550.000
1824.611,537.305
1828.677,510.662
1834.422,482.789
1835.420,475.000
1837.115,468.558
1839.636,444.818
1844.422,425.000
1844.060,402.970
1843.508,400.000
1844.272,397.136
1848.417,375.000
1851.424,350.000
1851.833,324.083
1853.787,300.000
1859.792,250.000
1861.641,219.180
1863.487,200.000
1863.487,181.743
1864.393,175.000
1867.153,158.577
1871.031,114.485
1871.671,89.164
1872.475,75.000
1871.008,60.504
1869.397,25.000
1869.500,10.360
1871.154,1.000
